1693652611: mosquitto version 2.0.17 starting
1693652611: Config loaded from /mosquitto/config/mosquitto.conf.
1693652611: Warning: File /mosquitto/config/password_file has world readable permissions. Future versions will refuse to load this file.
1693652611: Opening ipv4 listen socket on port 1883.
1693652611: Opening ipv6 listen socket on port 1883.
1693652611: Opening ipv4 listen socket on port 8883.
1693652611: Opening ipv6 listen socket on port 8883.
1693652611: mosquitto version 2.0.17 running
1693654412: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693656213: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693658014: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693659815: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693661616: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693663417: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693665218: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693667019: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693668820: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693670621: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693672422: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693674223: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693676024: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693677825: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693679626: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693681427: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693683228: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693685029: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693686830: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693688631: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693690432: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693692233: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693694034: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693695835: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693697636: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693699437: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693701238: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693703039: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693704840: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693706641: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693708442: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693710243: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693712044: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693713845: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693715646: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693717447: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693719248: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693721049: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693722850: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693724651: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693726452: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693728253: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693730054: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693731855: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693733656: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693735457: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693737258: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693739059: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693740860: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693742661: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693744462: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693746263: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693748064: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693749865: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693751666: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693753467: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693755268: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693757069: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693758870: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693760671: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693762472: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693764273: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693766074: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693767875: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693769676: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693771477: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693773278: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693775079: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693776880: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693778681: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693780482: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693782283: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693784084: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693785885: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693787686: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693789487: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693791288: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693793089: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693794890: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693796691: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693798492: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693800293: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693802094: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693803895: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693805696: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693807497: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693809298: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693811099: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693812900: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693814701: Saving in-memory database to /mosquitto/data//mosquitto.db.
1693816502: Saving in-memory database to /mosquitto/data//mosquitto.db.
